time,n_sat,x,y,z,dt_u,rms
2026-04-26T11:46:00,11,3512850.4239977184,2069002.083132213,4888975.202234608,1.0896604865545818e-07,50.607421112212855
2026-04-26T11:46:30,11,3512851.350644911,2069002.85856241,4888975.770721856,1.1018246678075861e-07,51.166366201137485
2026-04-26T11:47:00,11,3512851.747959418,2069002.8564233654,4888976.666659483,1.1147317525490159e-07,51.19957931613729
2026-04-26T11:47:30,11,3512852.2707989095,2069004.0169079357,4888977.50625645,1.1442841294774418e-07,51.39875193704192
2026-04-26T11:48:00,11,3512852.0619138037,2069003.9447494596,4888977.487952189,1.1267570208174657e-07,51.74371404240632
2026-04-26T11:48:30,11,3512853.168236798,2069004.3966134982,4888979.472483407,1.1720781451874365e-07,52.065003473430984
2026-04-26T11:49:00,11,3512853.5275166635,2069005.0774247488,4888980.042048455,1.1841786426474775e-07,52.496542180104626
2026-04-26T11:49:30,11,3512853.980730744,2069005.3096034427,4888981.334156982,1.203938470162845e-07,52.499550821648356
2026-04-26T11:50:00,11,3512854.5802078177,2069006.1036204936,4888982.520953562,1.2299021231528561e-07,52.94985615599464
2026-04-26T11:50:30,11,3512855.4122151947,2069006.7868889738,4888983.996883648,1.2694168973740622e-07,53.404295002086855
2026-04-26T11:51:00,11,3512856.007974404,2069007.1716353346,4888984.552856487,1.2872504980769928e-07,53.71439343162967
2026-04-26T11:51:30,11,3512856.1079586507,2069008.202843173,4888986.333076578,1.3094274859852343e-07,53.98397341052523
2026-04-26T11:52:00,11,3512857.17774962,2069008.5313897743,4888986.694553906,1.3268434521638257e-07,54.29358154027055
2026-04-26T11:52:30,11,3512858.229999977,2069008.9185844345,4888988.619078779,1.3629150736245493e-07,54.62636425826211
2026-04-26T11:53:00,11,3512858.0288436622,2069009.8269603103,4888989.8019619435,1.394303907254155e-07,54.97879576505268
2026-04-26T11:53:30,11,3512858.3762936546,2069010.2233396627,4888991.352348535,1.4114859689630872e-07,55.74476164579628
2026-04-26T11:54:00,11,3512859.9501672317,2069011.4756270412,4888993.24609453,1.4719314375395036e-07,56.21299875564221
2026-04-26T11:54:30,11,3512860.4104027343,2069012.044638677,4888994.926373395,1.504599771623995e-07,56.63876596768371
2026-04-26T11:55:00,11,3512861.4066126854,2069012.5220591824,4888996.782207442,1.5461127469437002e-07,57.03821412387368
2026-04-26T11:55:30,10,3512856.761581163,2069001.9211324817,4888945.340300595,4.820370466899337e-08,52.81520637978624
2026-04-26T11:56:00,10,3512858.0762658827,2069002.323447356,4888945.375031021,4.982047225798151e-08,53.312947489641545
2026-04-26T11:56:30,10,3512858.405446349,2069003.1817776994,4888946.849217844,5.307483265261132e-08,53.80767194240688
2026-04-26T11:57:00,10,3512859.5801501484,2069003.6243836847,4888946.983423145,5.4977310217882195e-08,53.90762493741741
2026-04-26T11:57:30,10,3512860.8818195243,2069005.2016763743,4888948.17126733,5.937435129637493e-08,54.87801256159141
2026-04-26T11:58:00,10,3512861.3999705147,2069005.7969697544,4888948.722614316,6.091659103266869e-08,55.12909742117884
2026-04-26T11:58:30,10,3512862.389787216,2069006.0900145932,4888949.422531248,6.239975860551141e-08,55.66946503610161
2026-04-26T11:59:00,10,3512863.5091246557,2069006.8593521116,4888950.332276775,6.560931918275511e-08,56.33186159621579
2026-04-26T11:59:30,9,3512785.4075453253,2068957.7023927274,4888916.051462063,-1.4215335133819505e-07,34.72468089327337
2026-04-26T12:00:00,9,3512785.0455004936,2068956.9834879204,4888916.365894668,-1.4227740496387083e-07,34.7833969493731
2026-04-26T12:00:30,9,3512785.4685177812,2068957.1937040386,4888916.040035211,-1.4272694144880036e-07,34.62428469544215
2026-04-26T12:01:00,9,3512785.767006539,2068956.8644500088,4888916.073441958,-1.4409838766939285e-07,34.766273419488364
2026-04-26T12:01:30,9,3512785.083394233,2068956.228859527,4888916.155526519,-1.457810648399543e-07,34.731297291744966
2026-04-26T12:02:00,9,3512785.2033561124,2068956.4223571348,4888916.582175346,-1.450550856886593e-07,34.59328567063987
2026-04-26T12:02:30,9,3512784.688968896,2068956.1880749487,4888915.922790424,-1.4801223486458171e-07,34.710965546541736
2026-04-26T12:03:00,9,3512785.2257481883,2068955.8346392857,4888916.728285364,-1.465801700243303e-07,34.43575510121925
2026-04-26T12:03:30,9,3512785.474028764,2068955.5510641518,4888917.143813343,-1.4625394870342047e-07,34.49838679838737
2026-04-26T12:04:00,9,3512784.382896549,2068955.5941944341,4888916.826645726,-1.4812432511968644e-07,34.634051675577524
2026-04-26T12:04:30,9,3512785.4964004764,2068956.0457721502,4888918.013587289,-1.4504476803567615e-07,34.67745547520538
2026-04-26T12:05:00,9,3512785.472272245,2068955.4836535375,4888917.397428877,-1.4752471186384245e-07,34.45082948018258
2026-04-26T12:05:30,9,3512784.9972932157,2068955.1950219262,4888917.410627763,-1.4940266594010681e-07,34.36708339304779
2026-04-26T12:06:00,9,3512784.870293677,2068955.122737439,4888917.942279443,-1.4860468268109256e-07,34.44831353102865
2026-04-26T12:06:30,9,3512785.2842004714,2068954.8595097258,4888918.716035613,-1.4719041515470094e-07,34.31011883459203
2026-04-26T12:07:00,9,3512785.331147209,2068955.5788880363,4888918.800543864,-1.4718095167558766e-07,34.34400939793556
2026-04-26T12:07:30,9,3512785.4462572,2068955.0460475865,4888918.434876501,-1.4886363497741853e-07,34.16162252854362
2026-04-26T12:08:00,9,3512785.3233158123,2068954.9091434109,4888919.148254986,-1.4845849614273042e-07,34.25179288854277
2026-04-26T12:08:30,9,3512785.0920086633,2068954.5210630132,4888919.58315715,-1.495605459744711e-07,34.44130864194279
2026-04-26T12:09:00,9,3512785.699304425,2068955.088007816,4888919.483529699,-1.4892128840213395e-07,34.29933077224304
2026-04-26T12:09:30,9,3512786.2240583063,2068954.5605010684,4888920.458365107,-1.4747346209968773e-07,34.296187977290764
2026-04-26T12:10:00,9,3512786.0346365953,2068954.7752523124,4888920.986604263,-1.4782640992244235e-07,34.09373082025593
2026-04-26T12:10:30,9,3512786.1220558644,2068954.5307819,4888920.925347271,-1.480889265031302e-07,34.333712786868965
2026-04-26T12:11:00,9,3512786.39274643,2068954.2856767764,4888921.363982442,-1.4755970980360709e-07,34.247228691250974
2026-04-26T12:11:30,9,3512787.0848977948,2068954.7375373056,4888922.039892126,-1.4596636353936183e-07,34.079847736612145
2026-04-26T12:12:00,9,3512786.8506180253,2068954.832226065,4888922.447610172,-1.4703030684092972e-07,34.31708788609422
2026-04-26T12:12:30,9,3512787.0159299006,2068954.0348982904,4888922.6296036,-1.4708724017081255e-07,34.09660082692771
2026-04-26T12:13:00,9,3512786.712100106,2068954.57919097,4888923.651207024,-1.4682543452090994e-07,34.267842656380786
2026-04-26T12:13:30,9,3512786.879082404,2068954.004707216,4888923.600806132,-1.4647783749417523e-07,34.00094910995947
2026-04-26T12:14:00,9,3512786.8211865155,2068953.4587553416,4888923.562107938,-1.483140801259283e-07,34.15493517091677
2026-04-26T12:14:30,9,3512786.867077214,2068953.7167032612,4888924.2606412,-1.4725100467472592e-07,34.11512233135731
2026-04-26T12:15:00,9,3512787.3674478764,2068953.68502994,4888924.709014182,-1.4723417191885114e-07,33.94449186282789
2026-04-26T12:15:30,9,3512787.8048630725,2068954.0725222854,4888925.332560533,-1.4539238553217725e-07,34.17014294176295
