t,prn,x,y,z,vx,vy,vz,clock
78600.0,31,-24552979.172119137,9253424.879497295,-5348364.4039524635,430.7091156453364,-539.3981666117677,-3045.494445836034,-0.00015291875295283028
79200.0,31,-24241835.142461162,8891574.842513878,-7153521.048488234,603.7823226603861,-668.790703985265,-2967.657892450258,-0.00015291562633989116
79800.0,31,-23831441.372297756,8448808.21106071,-8905334.545326628,761.2243446317401,-808.7656956510582,-2867.836189526514,-0.00015291239257026035
80400.0,31,-23331681.259671666,7919420.24402838,-10590841.889715943,901.4082975027575,-957.1461137282092,-2746.8185724286336,-0.0001529090652170638
81000.0,31,-22753326.27335913,7299066.651247488,-12197596.558666307,1023.0049485833221,-1111.5806503714286,-2605.534160384466,-0.00015290565849169346
81600.0,31,-22107851.506365776,6584856.673609399,-13713750.359731346,1125.0009797066964,-1269.5820942180524,-2445.044864822962,-0.00015290218714391975
82200.0,31,-21407241.760249116,5775422.533636774,-15128130.864756173,1206.7122777541474,-1428.5675966649428,-2266.5379072358696,-0.00015289866635984152
82800.0,31,-20663791.193897374,4870964.304726834,-16430314.206850506,1267.7921215688548,-1585.900240632437,-2071.317981252727,-0.00015289511165813885
83400.0,31,-19889899.628651194,3873269.6020231787,-17610693.038376544,1308.2341969929082,-1738.9313195998056,-1860.799081698477,-0.00015289153878506514
84000.0,31,-19097868.622377526,2785707.8534810394,-18660539.460114595,1328.3704330085536,-1885.0427348095816,-1636.4960123612093,-0.00015288796360859338
84600.0,31,-18299700.40931701,1613199.2632912025,-19572062.737494458,1328.8637117855487,-2021.6889232077194,-1400.015574313456,-0.00015288440201211565
85200.0,31,-17506902.751216117,362158.928799917,-20338461.61954037,1310.695563932863,-2146.4377376047387,-1153.0474281571417,-0.0001528808697880861
85800.0,31,-16730302.659329012,-959583.0860332195,-20953971.070828095,1275.1490175581241,-2257.009713532583,-897.3546167261673,-0.00015287738253199734
86400.0,31,-15979871.827151453,-2342884.5850796076,-21413903.217291996,1223.7868259798545,-2351.315174286854,-634.7637297874165,-0.0001528739555370854
87000.0,31,-15264566.460947504,-3777415.526017943,-21714682.294301637,1158.4253542063943,-2427.488646768465,-367.1546893111925,-0.0001528706036901733
87600.0,31,-14592184.009910122,-5251801.994729012,-21853873.37132031,1081.1044586097667,-2483.9200861747986,-96.4501330959459,-0.00015286734136908263
88200.0,31,-13969239.080794636,-6753787.814831069,-21830204.613054622,994.053747499627,-2519.282437644628,175.39562393722537,-0.00015286418234206943
