t,prn,x,y,z,vx,vy,vz,clock
495584.0,30,-7745084.657662105,-15103376.675725363,-20280529.455928076,2669.2223874617603,-2671.7657780390214,934.9509536422216,0.00019904396280980097
496184.0,30,-6115684.272479715,-16645854.612363193,-19641726.705502972,2758.7978425199885,-2466.58080161378,1192.9776586699556,0.00019905120548007298
496784.0,30,-4438962.0627431115,-18059546.594423577,-18850923.879326794,2826.874421249505,-2242.7239773247734,1441.2833410499613,0.00019905857804178735
497384.0,30,-2727957.733119053,-19333787.981166303,-17914525.4085457,2873.00622007968,-2002.0132141178137,1677.9709246366722,0.00019906608546357892
497984.0,30,-995925.8159890734,-20459040.679094005,-16840042.56105879,2896.9244690258806,-1746.385329670979,1901.2503006097688,0.0001990737316451093
498584.0,30,743770.4033874087,-21426959.302279647,-15636025.49602806,2898.536923981249,-1477.8783879935659,2109.4512289224986,0.00019908151939496574
499184.0,30,2477764.174884105,-22230446.66406337,-14311987.995278614,2877.9257378130696,-1198.6136940547265,2301.034799435519,0.00019908945041774816
499784.0,30,4192788.9068226647,-22863698.446494214,-12878325.737047948,2835.343917155008,-910.7776501012713,2474.6034150864693,0.00019909752531016792
500384.0,30,5875779.311277842,-23322237.009997286,-11346228.994485196,2771.2104827030134,-616.603662165285,2628.9092841059733,0.00019910574356590057
500984.0,30,7513968.886738206,-23602934.19940057,-9727590.970964879,2686.1022266118875,-318.35728763625366,2762.8612216335446,0.0001991139059235729
501584.0,30,9094985.658606483,-23704024.543208294,-8034910.705043627,2580.7555965082856,-18.306579428549867,2875.531046281959,0.00019912240516521963
502184.0,30,10606939.362636251,-23625106.192942154,-6281196.15986984,2456.0452867584568,281.27659963589076,2966.156471617852,0.0001991310398138286
502784.0,30,12038507.381426785,-23367133.459137022,-4479862.188478772,2312.984471143433,578.1452353771723,3034.144739485242,0.00019913980516092752
503384.0,30,13379013.528491896,-22932399.003066324,-2644628.59218312,2152.7131276814753,870.0897854207976,3079.07393571898,0.0001991486955372279
503984.0,30,14618501.312214166,-22324506.8929314,-789417.3314301708,1976.4880664067853,1154.953117539093,3100.6933062863486,0.0001991577043614505
504584.0,30,15747801.066188367,-21548336.892498873,1071750.1338499223,1785.672511413424,1430.6446349900937,3098.9224488061495,0.00019916682419475424
505184.0,30,16758590.6988441,-20610000.480827652,2924854.714035395,1581.725333143531,1695.1535550246226,3073.8494609636236,0.00019917604680024656
505784.0,30,17643449.87120956,-19516789.12065191,4755980.157569933,1366.190016407772,1946.5613209104936,3025.7281264905114,0.00019918536320705937
506384.0,30,18395907.461670794,-18277115.30380207,6551411.5522398995,1140.6834388311222,2183.0531397623713,2954.974216467151,0.00019919476377848323
506984.0,30,19010482.220394224,-16900446.905974835,8297731.341620205,906.8845236909947,2402.9286480686737,2862.1609790699767,0.0001992042382836666
507584.0,30,19482716.55371529,-15397235.381495574,9981912.381804233,666.5228207917904,2604.6117140454735,2748.013884886842,0.00019921377597240255
508184.0,30,19809203.478406023,-13778838.546225086,11591407.592521852,421.3657067116858,2786.661589003381,2613.4076015119967,0.0001992236353980675
508784.0,30,19987606.388275985,-12057437.235760964,13114235.811633458,173.2124761196385,2947.7721376656955,2459.3478687382417,0.00019923326523936633
509384.0,30,20016672.3889463,-10245949.06559138,14539063.637476109,-76.12555002294971,3086.792640801671,2286.9815300471787,0.00019924292368013368
509984.0,30,19896238.459703736,-8357936.695963891,15855282.4610298,-324.83058558011544,3202.7251859806083,2097.577446580398,0.0001992525986886029
510584.0,30,19627230.92861804,-6407512.973799638,17053080.914300177,-571.0911296845109,3294.7326966038736,1892.5210920497836,0.00019926227811828425
511184.0,30,19211658.19409846,-4409242.844169418,18123512.135230545,-813.113152653831,3362.1438736471528,1673.305820942638,0.0001992719497920935
511784.0,30,18652596.77157155,-2378042.571545789,19058555.622893523,-1049.1311824786596,3404.4573616783637,1441.5236515404492,0.00019928160158662217
512384.0,30,17954170.7372781,-329076.7388639143,19851173.403670136,-1277.419279757369,3421.345134712731,1198.8555739375367,0.00019929122151615908
512984.0,30,17121524.64791479,1722346.5054126838,20495360.23499749,-1496.3018872753405,3412.655090009484,947.061389393939,0.00019930079781607034
513584.0,30,16160790.02258722,3760881.4752170322,20986187.576703463,-1704.1645371734414,3378.4128301167557,687.9690850067173,0.00019931031902513944
514184.0,30,15079045.483296826,5771251.761075368,21319841.061871003,-1899.4643939065982,3318.8226056632366,423.4637469974005,0.0001993197740664597
514784.0,30,13884270.662914077,7738357.32519519,21493651.200628214,-2080.7406050771046,3234.2673839199965,155.47601702039688,0.00019932915232645957
515384.0,30,12585294.032731492,9647381.176206715,21506116.90099058,-2246.621541808882,3125.3033352047987,-114.02879293411168,0.00019933824696529397
515984.0,30,11191734.518586265,11483896.239006275,21356922.431353513,-2395.8463001022083,2992.6765770657057,-383.06781408091734,0.0001993474425007525
516584.0,30,9713938.089561947,13233968.605782181,21046945.438734,-2527.2565669491905,2837.2926562810057,-649.646061277456,0.00019935653294631878
517184.0,30,8162907.751508055,14884261.271436041,20578258.49029751,-2639.8176720621386,2660.231040107152,-911.774865422738,0.00019936551027581071
517784.0,30,6550228.826776331,16422133.879340135,19954122.000747047,-2732.6242622382442,2462.735511617665,-1167.4841032773784,0.00019937436727777318
518384.0,30,4887989.044162712,17835739.42625379,19178969.057260282,-2804.90844589861,2246.207970462047,-1414.8360882339791,0.00019938309761365937
518984.0,30,3188693.9235267127,19114116.92580186,18258381.864644505,-2856.047306550965,2012.2010073522902,-1651.9396968227152,0.00019939169587078882
431984.0,31,-16831555.73250697,-2009907.5916696945,-20800557.58664634,1615.3643541074093,-3339.9549324765567,-968.0483142634807,-0.00015349352120747346
432584.0,31,-15801047.012190796,-4003882.1636644676,-21303441.863761142,1817.5475862488615,-3302.6980028690714,-707.1610206254283,-0.00015349007644417572
433184.0,31,-14653159.017677847,-5968109.925473412,-21648039.751626384,2006.4358390248694,-3240.849084446969,-440.7361588088949,-0.00015348670287983334
433784.0,31,-13396291.25684874,-7887946.645091298,-21831601.496638987,2180.6329815827194,-3154.7967520968427,-170.6857788227387,-0.00015348341503977514
434384.0,31,-12039652.935043233,-9749031.43684881,-21852535.022915836,2338.8357828051066,-3045.096726578904,101.04330787707505,-0.00015348022686651787
434984.0,31,-10593204.588805424,-11537386.50529598,-21710423.35171051,2479.842904642541,-2912.4705167360307,372.4808862518134,-0.0001534771516209842
435584.0,31,-9067594.412377462,-13239515.842316575,-21406035.112139083,2602.563691791847,-2757.8032521851665,641.6451437663299,-0.00015347420178661307
436184.0,31,-7474089.673693662,-14842502.142533854,-20941327.90213916,2706.0269647212376,-2582.1429704135207,906.5550782363808,-0.00015347134959064224
436784.0,31,-5824501.728971817,-16334102.828727212,-20319444.03403393,2789.388170791843,-2386.6873664436935,1165.2425711513386,-0.00015346868460444163
437384.0,31,-4131109.040021362,-17702841.06555239,-19544698.947234344,2851.93891540245,-2172.7925214341544,1415.766525861144,-0.00015346617690538804
437984.0,31,-2406572.797684055,-18938095.75465165,-18622561.224530857,2893.1131424803625,-1941.9576672906292,1656.2256606427025,-0.00015346383498506127
438584.0,31,-663849.6711711343,-20030186.436465465,-17559624.654339317,2912.4942326480596,-1695.820125772139,1884.772560224252,-0.00015346166614228093
439184.0,31,1083899.6085898858,-20970453.689130887,-16363571.85612239,2909.8211027499156,-1436.1467429432205,2099.6277960426028,-0.00015345967641755746
439784.0,31,2823405.119745385,-21751334.044210933,-15043129.377810122,2884.993494697098,-1164.8240209875269,2299.0942188627564,-0.00015345787053508295
