prn,epoch,x_km,y_km,z_km,vx,vy,vz
R03,2020-01-02 07:15,-7260.9253,-8804.0532,-22783.7075,1.668329,-2.645996,0.485429
R03,2020-01-02 07:45,-4696.1475,-13607.1646,-21038.2451,1.167103,-2.641801,1.441181
R03,2020-01-02 08:15,-3077.9336,-18135.8311,-17663.2139,0.634959,-2.341333,2.284308
R03,2020-01-02 08:45,-2364.0532,-21872.1909,-12921.5933,0.179311,-1.769353,2.949814
R03,2020-01-02 09:15,-2331.5537,-24382.2681,-7181.4053,-0.109330,-0.993065,3.386721
R03,2020-01-02 09:45,-2621.5649,-25383.6948,-886.8530,-0.172603,-0.111438,3.561886
R03,2020-01-02 10:15,-2806.9185,-24789.2305,5476.1602,0.005950,0.760626,3.462387
R03,2020-01-02 10:45,-2471.1226,-22719.0957,11417.4062,0.398185,1.510623,3.096347
R03,2020-01-02 11:15,-1285.4722,-19480.2974,16479.7612,0.936086,2.046285,2.492168
R03,2020-01-02 11:45,928.5049,-15516.5215,20273.9019,1.523095,2.310006,1.696294
R03,2020-01-02 12:15,4161.5864,-11336.8770,22507.7715,2.050159,2.287592,0.769675
R03,2020-01-02 12:45,8210.6050,-7435.1377,23008.7397,2.413884,2.009940,-0.216772
R03,2020-01-02 13:15,12704.5806,-4212.5728,21736.8892,2.533875,1.547421,-1.187423
R03,2020-01-02 13:45,17159.2075,-1916.8677,18788.4463,2.366467,0.997863,-2.067581
R03,2020-01-02 14:15,21051.0459,-607.0742,14388.9990,1.912574,0.470038,-2.789134
R03,2020-01-02 14:45,23899.4805,-150.3604,8876.8096,1.218335,0.065326,-3.295828
R03,2020-01-02 15:15,25343.0552,-251.1812,2677.2617,0.368292,-0.139469,-3.547777
R03,2020-01-02 15:45,25197.5098,-508.1211,-3729.7852,-0.527861,-0.105233,-3.524777
R03,2020-01-02 16:15,23485.6982,-488.9351,-9847.2983,-1.352831,0.162654,-3.228107
R03,2020-01-02 16:45,20434.1729,188.8818,-15200.0562,-2.000681,0.615079,-2.680580
R03,2020-01-02 17:15,16436.8354,1785.7466,-19372.1064,-2.393940,1.167447,-1.924805
R03,2020-01-02 17:45,11991.6826,4388.2969,-22039.5718,-2.495953,1.714051,-1.019785
R03,2020-01-02 18:15,7621.2637,7887.2769,-22996.0571,-2.316367,2.146092,-0.036173
R03,2020-01-02 18:45,3790.2207,11988.8721,-22168.6182,-1.908854,2.370279,0.949401
R03,2020-01-02 19:15,833.6816,16257.6406,-19623.0762,-1.361508,2.324838,1.860408
R03,2020-01-02 19:45,-1091.6689,20183.8584,-15558.3770,-0.781626,1.990247,2.626424
R03,2020-01-02 20:15,-2025.9419,23264.0366,-10290.6001,-0.277439,1.392934,3.188562
R03,2020-01-02 20:45,-2191.1064,25081.2290,-4228.0005,0.060087,0.601364,3.503934
R03,2020-01-02 21:15,-1945.6133,25371.8887,2160.8433,0.172399,-0.284782,3.548809
R03,2020-01-02 21:45,-1716.4326,24068.3315,8383.2407,0.042957,-1.150499,3.320269
R03,2020-01-02 22:15,-1920.0137,21309.9814,13960.1450,-0.300211,-1.883772,2.836271
R03,2020-01-02 22:45,-2885.3682,17421.7026,18462.6177,-0.789379,-2.393322,2.134163
R03,2020-01-02 23:15,-4792.0308,12862.8882,21544.3228,-1.328552,-2.622915,1.267794
R03,2020-01-02 23:45,-7633.1348,8155.6631,22967.7500,-1.809558,-2.559955,0.303472
R04,2020-01-03 01:15,-23073.1216,653.3022,10891.1016,1.476111,-0.236126,3.144394
R05,2020-01-02 00:15,18640.5815,11533.7773,-13062.4658,1.307983,1.229299,2.948997
R05,2020-01-02 00:45,20642.4517,13098.7676,-7318.3325,0.873968,0.519861,3.391961
R05,2020-01-02 01:15,21650.9688,13473.5122,-1009.0132,0.214785,-0.076637,3.572926
R05,2020-01-02 01:45,21328.5630,12942.2974,5378.2310,-0.588694,-0.475348,3.477992
R05,2020-01-02 02:15,19509.1855,11910.6611,11350.2153,-1.429339,-0.628229,3.114518
R05,2020-01-02 02:45,16230.5596,10831.2925,16445.8169,-2.190951,-0.531592,2.510537
R05,2020-01-02 03:15,11733.6548,10122.9087,20271.4702,-2.766989,-0.226256,1.712595
R05,2020-01-02 03:45,6429.3633,10095.6543,22531.4658,-3.077772,0.209746,0.782176
R05,2020-01-02 04:15,837.7544,10895.4702,23050.7563,-3.083326,0.674660,-0.208994
R05,2020-01-02 04:45,-4490.2280,12476.7212,21788.5522,-2.789773,1.060477,-1.184424
R05,2020-01-02 05:15,-9055.8809,14607.7222,18841.6562,-2.248216,1.271502,-2.068709
R05,2020-01-02 05:45,-12487.1260,16908.3442,14437.2388,-1.546280,1.240939,-2.793343
R05,2020-01-02 06:15,-14592.0059,18913.5806,8915.5161,-0.793679,0.942732,-3.302052
